Category;Open;High;Low;Close;o-1;h-1;l-1;c-1;o-2;h-2;l-2;c-2
NEUTRAL;9 483;9 594;9 383;9 499;9 384;9 484;8 927;9 484;9 408;9 478;9 336;9 384
LOW_RAISE;9 384;9 484;8 927;9 484;9 408;9 478;9 336;9 384;9 457;9 492;9 366;9 407
NEUTRAL;9 408;9 478;9 336;9 384;9 457;9 492;9 366;9 407;9 343;9 558;9 245;9 457
NEUTRAL;9 457;9 492;9 366;9 407;9 343;9 558;9 245;9 457;9 870;9 959;9 198;9 338
LOW_RAISE;9 343;9 558;9 245;9 457;9 870;9 959;9 198;9 338;9 757;9 975;9 717;9 870
LOW_FALL;9 870;9 959;9 198;9 338;9 757;9 975;9 717;9 870;9 709;9 855;9 630;9 758
LOW_RAISE;9 757;9 975;9 717;9 870;9 709;9 855;9 630;9 758;9 731;9 796;9 663;9 709
NEUTRAL;9 709;9 855;9 630;9 758;9 731;9 796;9 663;9 709;9 708;9 793;9 409;9 707
NEUTRAL;9 731;9 796;9 663;9 709;9 708;9 793;9 409;9 707;9 715;9 734;9 550;9 708
NEUTRAL;9 708;9 793;9 409;9 707;9 715;9 734;9 550;9 708;9 786;9 854;9 622;9 715
NEUTRAL;9 715;9 734;9 550;9 708;9 786;9 854;9 622;9 715;9 586;9 870;9 477;9 786
NEUTRAL;9 786;9 854;9 622;9 715;9 586;9 870;9 477;9 786;9 529;9 637;9 434;9 585
LOW_RAISE;9 586;9 870;9 477;9 786;9 529;9 637;9 434;9 585;9 671;10 339;9 364;9 529
NEUTRAL;9 529;9 637;9 434;9 585;9 671;10 339;9 364;9 529;9 504;9 691;9 400;9 691
LOW_FALL;9 671;10 339;9 364;9 529;9 504;9 691;9 400;9 691;9 439;9 728;9 437;9 504
LOW_RAISE;9 504;9 691;9 400;9 691;9 439;9 728;9 437;9 504;9 417;9 594;9 337;9 439
NEUTRAL;9 439;9 728;9 437;9 504;9 417;9 594;9 337;9 439;9 451;9 614;9 348;9 417
NEUTRAL;9 417;9 594;9 337;9 439;9 451;9 614;9 348;9 417;9 165;9 518;9 062;9 453
NEUTRAL;9 451;9 614;9 348;9 417;9 165;9 518;9 062;9 453;8 867;9 216;8 810;9 163
LOW_RAISE;9 165;9 518;9 062;9 453;8 867;9 216;8 810;9 163;8 917;9 005;8 723;8 867
LOW_RAISE;8 867;9 216;8 810;9 163;8 917;9 005;8 723;8 867;9 006;9 080;8 679;8 917
NEUTRAL;8 917;9 005;8 723;8 867;9 006;9 080;8 679;8 917;9 235;9 300;8 861;9 006
NEUTRAL;9 006;9 080;8 679;8 917;9 235;9 300;8 861;9 006;9 191;9 308;9 100;9 235
LOW_FALL;9 235;9 300;8 861;9 006;9 191;9 308;9 100;9 235;9 075;9 263;8 946;9 191
NEUTRAL;9 191;9 308;9 100;9 235;9 075;9 263;8 946;9 191;9 592;9 594;8 819;9 075
LOW_RAISE;9 075;9 263;8 946;9 191;9 592;9 594;8 819;9 075;9 698;9 832;9 380;9 592
LOW_FALL;9 592;9 594;8 819;9 075;9 698;9 832;9 380;9 592;0;0;0;0
#DÌLENÍ_NULOU!;9 698;9 832;9 380;9 592;0;0;0;0;0;0;0;0
