Category;Open;High;Low;Close;o-1;h-1;l-1;c-1;o-2;h-2;l-2;c-2
HIGH_RAISE;21 200;23 685;21 200;22 767;19 431;21 275;19 319;21 240;19 199;19 561;19 086;19 431
HIGH_RAISE;19 431;21 275;19 319;21 240;19 199;19 561;19 086;19 431;19 182;19 314;18 996;19 201
LOW_RAISE;19 199;19 561;19 086;19 431;19 182;19 314;18 996;19 201;18 800;19 414;18 734;19 182
NEUTRAL;19 182;19 314;18 996;19 201;18 800;19 414;18 734;19 182;18 106;18 837;18 033;18 794
LOW_RAISE;18 800;19 414;18 734;19 182;18 106;18 837;18 033;18 794;18 351;18 396;17 604;18 106
LOW_RAISE;18 106;18 837;18 033;18 794;18 351;18 396;17 604;18 106;18 550;18 650;17 938;18 352
LOW_FALL;18 351;18 396;17 604;18 106;18 550;18 650;17 938;18 352;18 776;18 823;17 653;18 550
LOW_FALL;18 550;18 650;17 938;18 352;18 776;18 823;17 653;18 550;19 087;19 302;18 632;18 784
LOW_FALL;18 776;18 823;17 653;18 550;19 087;19 302;18 632;18 784;19 249;19 429;18 924;19 087
LOW_FALL;19 087;19 302;18 632;18 784;19 249;19 429;18 924;19 087;19 019;19 339;18 895;19 246
NEUTRAL;19 249;19 429;18 924;19 087;19 019;19 339;18 895;19 246;18 828;19 186;18 512;19 019
LOW_RAISE;19 019;19 339;18 895;19 246;18 828;19 186;18 512;19 019;19 465;19 550;18 735;18 833
NEUTRAL;18 828;19 186;18 512;19 019;19 465;19 550;18 735;18 833;19 160;19 618;18 920;19 465
LOW_FALL;19 465;19 550;18 735;18 833;19 160;19 618;18 920;19 465;19 089;19 337;18 362;19 161
LOW_RAISE;19 160;19 618;18 920;19 465;19 089;19 337;18 362;19 161;19 380;19 928;18 229;19 089
NEUTRAL;19 089;19 337;18 362;19 161;19 380;19 928;18 229;19 089;18 267;19 835;18 094;19 376
LOW_FALL;19 380;19 928;18 229;19 089;18 267;19 835;18 094;19 376;17 765;18 330;17 556;18 267
LOW_RAISE;18 267;19 835;18 094;19 376;17 765;18 330;17 556;18 267;17 037;17 891;16 895;17 764
LOW_RAISE;17 765;18 330;17 556;18 267;17 037;17 891;16 895;17 764;17 122;17 463;16 508;17 037
LOW_RAISE;17 037;17 891;16 895;17 764;17 122;17 463;16 508;17 037;18 859;18 924;16 311;17 122
NEUTRAL;17 122;17 463;16 508;17 037;18 859;18 924;16 311;17 122;18 938;19 495;18 649;18 846
HIGH_FALL;18 859;18 924;16 311;17 122;18 938;19 495;18 649;18 846;18 419;19 414;18 120;18 938
NEUTRAL;18 938;19 495;18 649;18 846;18 419;19 414;18 120;18 938;18 585;18 759;18 012;18 426
LOW_RAISE;18 419;19 414;18 120;18 938;18 585;18 759;18 012;18 426;18 635;18 733;17 666;18 585
NEUTRAL;18 585;18 759;18 012;18 426;18 635;18 733;17 666;18 585;18 586;18 964;18 443;18 638
NEUTRAL;18 635;18 733;17 666;18 585;18 586;18 964;18 443;18 638;17 939;18 809;17 732;18 586
NEUTRAL;18 586;18 964;18 443;18 638;17 939;18 809;17 732;18 586;17 781;18 163;17 377;17 939
LOW_RAISE;17 939;18 809;17 732;18 586;17 781;18 163;17 377;17 939;17 633;18 467;17 318;17 781
NEUTRAL;17 781;18 163;17 377;17 939;17 633;18 467;17 318;17 781;16 717;17 837;16 569;17 627
